split,mae,rmse,median_ae,mean_error,r2,pearson,spearman,within_2fold,within_4fold,positive_mae,positive_rmse
train,0.1553440028203291,0.22220902181259716,0.11328063092535912,-0.01043367494139237,0.9153093678856343,0.958283257322616,0.9646527209683494,0.8732339089481946,0.9815541601255887,0.1553440028203291,0.22220902181259716
val,0.3775711257710024,0.516013363328392,0.27946772537026476,-0.04104993966876105,0.5323238844756375,0.7362045622288822,0.7295363086512141,0.5274861025324274,0.7952439777640519,0.3775711257710024,0.516013363328392
