split,mae,rmse,median_ae,mean_error,r2,pearson,spearman,within_2fold,within_4fold,negative_mae,negative_rmse,positive_mae,positive_rmse,phylum_actinomycetota_mae,phylum_bacillota_mae,phylum_bacteroidota_mae,phylum_pseudomonadota_mae
train,0.39431381270553245,0.505854190237745,0.32331480471094154,6.522331414956472e-05,0.6063343035759774,0.7906490636998375,0.772648047322638,0.46989686526753993,0.7836674648262046,0.3828164154488986,0.4934163244701612,0.4095542663917991,0.521884597251412,0.4189789534651188,0.40876387708652195,0.2143168241324973,0.38515901355781934
val,0.4854794378216512,0.6329305971083897,0.38964779374732683,0.0348868623149033,0.40771248300216145,0.642201612618531,0.6174428467056666,0.3861516034985423,0.6946064139941691,0.46385463859542564,0.5956754744945394,0.513693752552055,0.6784693279164203,0.6299070342852487,0.5039632528652916,,0.46426885303280097
