split,mae,rmse,median_ae,mean_error,r2,pearson,spearman,within_2fold,within_4fold,negative_mae,negative_rmse,positive_mae,positive_rmse,phylum_actinomycetota_mae,phylum_bacillota_mae,phylum_bacteroidota_mae,phylum_pseudomonadota_mae,phylum_unknown_mae
train,0.1791616277180061,0.25094624447453384,0.1304124577247563,0.026408037593060138,0.9038595668298245,0.9540035680838781,0.9493752496667288,0.8238571806565083,0.9712524708555775,0.1786174369598593,0.24861996571231346,0.17987879963600828,0.25397943344477414,0.17128606893266007,0.18065557326171233,0.11095067628046183,0.1796178404553446,0.16227241252067404
val,0.4027507760428997,0.5575737921636365,0.2934272126803662,0.02935266436817925,0.5238476509702688,0.7262133302447746,0.7144757572076338,0.5080409356725146,0.7791666666666667,0.3916242470536754,0.5431350507368504,0.4171159430129099,0.575679921491442,0.4992530898670675,0.4102612736635791,,0.3919071900452759,
