split,mae,rmse,median_ae,mean_error,r2,pearson,spearman,within_2fold,within_4fold,negative_mae,negative_rmse
train,0.15746429048887073,0.2197699815572585,0.11690297809433459,0.004365898837475457,0.9147946804842261,0.9582122597056927,0.9585455816425745,0.8698455040569079,0.9815494053573414,0.15746429048887073,0.2197699815572585
val,0.3811631209802408,0.5338708338038484,0.2793613904111363,0.03594982734381348,0.49072915787913507,0.7094393348436583,0.7009273722194658,0.5297525013164823,0.7946287519747235,0.3811631209802408,0.5338708338038484
