split,mae,rmse,median_ae,mean_error,r2,pearson,spearman,within_2fold,within_4fold,negative_mae,negative_rmse,positive_mae,positive_rmse
train,0.28703352829733897,0.4086033076543723,0.20292628787776534,-0.00200186946344783,0.7421083415778543,0.8616331903376651,0.8456802746504147,0.6370136870402969,0.8699526480260914,0.2857463188602096,0.4056051388801816,0.28876114865956637,0.4125930400757887
val,0.4948828434094329,0.657894289584317,0.385121376343867,0.03004919577224244,0.3599300278108588,0.6031059667815489,0.5907323438002665,0.40716054084936204,0.6834253792928331,0.47249516124106694,0.6220000178517039,0.5244275949324627,0.7024617486399135
