genus,n_rows,mae,rmse,median_ae,mean_error,r2,pearson,spearman,within_2fold,within_4fold,positive_mae,positive_rmse,negative_mae,negative_rmse
Bacillus,4757,0.45666014294154816,0.5991594240671881,0.34560568062282226,-0.006056395175148759,0.4346655087247686,0.6598705584451932,0.6345085617707854,0.4403341288782816,0.7279236276849642,0.45666014294154816,0.5991594240671881,,
Escherichia,15239,0.43007534771666783,0.5642771448621632,0.33235480481793456,0.02503345787601335,0.5090429867130355,0.7142151859050134,0.6798452199850573,0.4627942293090357,0.7425968109339408,,,0.43007534771666783,0.5642771448621632
Klebsiella,4123,0.4236536660298911,0.5488073271136626,0.3309223711576661,-0.014533236031047125,0.5643106652678149,0.7514506138143945,0.6951932109876385,0.46016483516483514,0.7568681318681318,,,0.4236536660298911,0.5488073271136626
Pseudomonas,10896,0.43136879823192864,0.5778320599786844,0.34419010422559837,0.031016925029561916,0.40340488973261845,0.6383996645971508,0.640641552795105,0.44339125855713535,0.7588204318062138,,,0.43136879823192864,0.5778320599786844
Staphylococcus,18526,0.4377662422616023,0.5627994312053856,0.34735065465157644,-0.010197610307771448,0.4436724171588672,0.6662899828983164,0.6526712163156486,0.4413218035824583,0.7365657813465102,0.4377662422616023,0.5627994312053856,,
