genus,n_rows,mae,rmse,median_ae,mean_error,r2,pearson,spearman,within_2fold,within_4fold,positive_mae,positive_rmse,negative_mae,negative_rmse
Bacillus,4757,0.36873207115790585,0.5291396125611181,0.2523284977738908,-0.03188749865896387,0.5590785332568038,0.7525316902247404,0.7325314806106472,0.5692124105011933,0.8102625298329356,0.36873207115790585,0.5291396125611181,,
Escherichia,15239,0.3781027852611913,0.5177691993126539,0.2717819200698089,0.01407549155922498,0.5866375985984363,0.7678466903938644,0.7368589972600207,0.5356871678056189,0.7957479119210327,,,0.3781027852611913,0.5177691993126539
Klebsiella,4123,0.4151105743637244,0.5657460859046266,0.3075443940540293,-0.01856707548393607,0.5370007975358726,0.734980667513669,0.7132208654673908,0.49038461538461536,0.7651098901098901,,,0.4151105743637244,0.5657460859046266
Pseudomonas,10896,0.3811631209802408,0.5338708338038484,0.2793613904111363,0.03594982734381348,0.49072915787913507,0.7094393348436583,0.7009273722194658,0.5297525013164823,0.7946287519747235,,,0.3811631209802408,0.5338708338038484
Staphylococcus,18526,0.3775711257710024,0.516013363328392,0.27946772537026476,-0.04104993966876105,0.5323238844756375,0.7362045622288822,0.7295363086512141,0.5274861025324274,0.7952439777640519,0.3775711257710024,0.516013363328392,,
