split,mae,rmse,median_ae,mean_error,r2,pearson,spearman,within_2fold,within_4fold
train,0.3093670170642839,0.4050955191735525,0.24431753748065904,3.501407860339731e-05,0.743974273709721,0.8688657186605375,0.8535344710657043,0.5872118044881648,0.8711712265600984
val,0.4792176805159671,0.6297778390266087,0.38545736608429004,0.028038081402204335,0.4209664793902823,0.6539282214288016,0.6489226113333597,0.40411317027827803,0.7043513623424156
